INFO   | jvm 1    | 2020/03/09 14:52:58 |   java org.tanukisoftware.wrapper.WrapperStartStopApp {start_class{/start_method}} {start_arg_count} [start_arguments] {stop_class{/stop_method}} {stop_wait} {stop_arg_count} [stop_arguments]
INFO   | jvm 1    | 2020/03/09 14:52:58 | 
INFO   | jvm 1    | 2020/03/09 14:52:58 | Where:
INFO   | jvm 1    | 2020/03/09 14:52:58 |   start_class:     The fully qualified class name to run to start the 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    application.
INFO   | jvm 1    | 2020/03/09 14:52:58 |   start_arg_count: The number of arguments to be passed to the start class's 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:52:58 |   start_arguments: The arguments that would normally be passed to the start 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    class application.
INFO   | jvm 1    | 2020/03/09 14:52:58 |   stop_class:      The fully qualified class name to run to stop the 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    application.
INFO   | jvm 1    | 2020/03/09 14:52:58 |   stop_wait:       When stopping, should the Wrapper wait for all threads to 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    complete before exiting (true/false).
INFO   | jvm 1    | 2020/03/09 14:52:58 |   stop_arg_count:  The number of arguments to be passed to the stop class's 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:52:58 |   stop_arguments:  The arguments that would normally be passed to the stop 
INFO   | jvm 1    | 2020/03/09 14:52:58 |                    class application.
STATUS | wrapper  | 2020/03/09 14:53:00 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/09 14:55:53 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/09 14:55:53 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 14:55:53 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 14:55:53 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 14:55:53 | 
STATUS | wrapper  | 2020/03/09 14:55:53 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 14:55:53 | WrapperManager: Initializing...
